ID	lat	mean_temp	log_npp	vsd_richness	Actinobacteria	Chloroflexi	ecoregion_iv
FS140502.13	33.34	10.5	-0.4559319556	413.3645234588	2699	92	Conifer Woodlands and Savannas
FS140502.17	33.34	10.5	-0.4559319556	585.2863827968	4114	165	Conifer Woodlands and Savannas
FS140502.21	33.34	10.5	-0.4559319556	441.5404631907	3906	110	Conifer Woodlands and Savannas
FS140502.25	33.34	10.5	-0.4559319556	751.8079585197	5688	143	Conifer Woodlands and Savannas
FS140502.5	33.34	10.5	-0.4559319556	638.9111887805	2609	175	Conifer Woodlands and Savannas
FS140502.9	33.34	10.5	-0.4559319556	349.3025314138	1832	104	Conifer Woodlands and Savannas
FS211B	33.485	10.7	-0.6575773192	209.8590932553	344	8	Conifer Woodlands and Savannas
FS71F	33.34	10.5	-0.4559319556	595.3845709425	3377	162	Conifer Woodlands and Savannas
FS73F	33.34	10.5	-0.4559319556	451.8474350437	2282	112	Conifer Woodlands and Savannas
FS76F	33.34	10.5	-0.4559319556	595.9168933298	3463	165	Conifer Woodlands and Savannas
FS8F	33.485	10.7	-0.6575773192	500.1299016434	640	25	Conifer Woodlands and Savannas
FSS10B	33.485	10.7	-0.6575773192	139.2636169671	1027	2	Conifer Woodlands and Savannas
FSS110924.1	33.485	10.7	-0.6575773192	162.1869379621	218	13	Conifer Woodlands and Savannas
FSS120711.1	33.50416	11.3	-0.7447274949	134.7592185638	2043	3	Conifer Woodlands and Savannas
FSS120711.10	33.50416	11.3	-0.7447274949	164.8878203206	68	4	Conifer Woodlands and Savannas
FSS120711.13	33.50416	11.3	-0.7447274949	135.8031101324	222	10	Conifer Woodlands and Savannas
FSS120711.16	33.50416	11.3	-0.7447274949	354.0067585863	3213	52	Conifer Woodlands and Savannas
FSS120711.19	33.50416	11.3	-0.7447274949	259.9519601999	766	60	Conifer Woodlands and Savannas
FSS120711.22	33.50416	11.3	-0.7447274949	208.8159687181	820	32	Conifer Woodlands and Savannas
FSS120711.4	33.50416	11.3	-0.7447274949	210.441543898	919	66	Conifer Woodlands and Savannas
FSS120711.7	33.50416	11.3	-0.7447274949	97.8501678468	132	0	Conifer Woodlands and Savannas
FSS120712.01	33.498	11.3	-0.6989700043	106.4880388424	2462	0	Conifer Woodlands and Savannas
FSS120712.04	33.498	11.3	-0.6989700043	129.2121453735	223	9	Conifer Woodlands and Savannas
FSS120712.07	33.498	11.3	-0.6989700043	124.2406139443	302	1	Conifer Woodlands and Savannas
FSS120712.13	33.498	11.3	-0.6989700043	110.2642320411	1998	0	Conifer Woodlands and Savannas
FSS120712.16	33.498	11.3	-0.6989700043	191.5034248506	997	39	Conifer Woodlands and Savannas
FSS120712.19	33.498	11.3	-0.6989700043	182.0559033658	751	0	Conifer Woodlands and Savannas
FSS120712.22	33.498	11.3	-0.6989700043	169.814085447	683	18	Conifer Woodlands and Savannas
FSS120712.25	33.498	11.3	-0.6989700043	212.4499304738	1395	13	Conifer Woodlands and Savannas
FSS120712.28	33.498	11.3	-0.6989700043	124.2915365256	287	4	Conifer Woodlands and Savannas
FSS13B	33.485	10.7	-0.6575773192	216.5003268578	670	26	Conifer Woodlands and Savannas
FSS140502.1	33.50416	11.3	-0.7447274949	680.492421266	1926	163	Conifer Woodlands and Savannas
FSS140503.1	33.50416	11.3	-0.7447274949	513.5817555088	2638	38	Conifer Woodlands and Savannas
FSS140503.13	33.50416	11.3	-0.7447274949	843.2925769252	1922	41	Conifer Woodlands and Savannas
FSS140503.17	33.50416	11.3	-0.7447274949	506.0833699675	2308	27	Conifer Woodlands and Savannas
FSS140503.5	33.50416	11.3	-0.7447274949	743.4533335564	2105	61	Conifer Woodlands and Savannas
FSS140503.9	33.50416	11.3	-0.7447274949	696.6927839566	2030	399	Conifer Woodlands and Savannas
FSS16B	33.485	10.7	-0.6575773192	131.3684950151	85	9	Conifer Woodlands and Savannas
FSS19B	33.485	10.7	-0.6575773192	213.2792416879	428	30	Conifer Woodlands and Savannas
FSS217B	33.485	10.7	-0.6575773192	486.8924610852	2446	168	Conifer Woodlands and Savannas
FSS221B	33.49083	10.8	-0.6020599913	168.2203590741	328	51	Conifer Woodlands and Savannas
FSS22B	33.485	10.7	-0.6575773192	193.1863551428	567	22	Conifer Woodlands and Savannas
FSS4B	33.485	10.7	-0.6575773192	104.2933744609	100	7	Conifer Woodlands and Savannas
FUR2F	34.89527	8	-0.7695510786	583.553483134	9356	252	Lava Malpais
FUR5B	34.94583	7.8	-1	153.3186918908	1061	82	Lava Malpais
FW140421.1	34.94583	7.8	-1	511.5796412862	3843	81	Lava Malpais
FW1F	34.94583	7.8	-1	219.6180743012	713	38	Lava Malpais
FW2F	34.94583	7.8	-1	412.2321267242	5835	127	Lava Malpais
JC140418.1	34.96916	8.1	-0.5228787453	665.3211345443	4283	72	Lava Malpais
JC140418.11	34.96916	8.1	-0.5228787453	689.2120880936	9567	133	Lava Malpais
JC140418.16	34.96916	8.1	-0.5228787453	508.5150714523	6938	128	Lava Malpais
JC140418.6	34.96916	8.1	-0.5228787453	470.4619792123	5135	89	Lava Malpais
JC2B	34.96916	8.1	-0.5228787453	139.843725468	533	3	Lava Malpais
PARA140524.1	36.086159	10.7	0.8162413	472.9708982806	1176	53	Shivwits Woodland
PARA140525.1	36.134464	11	-0.6575773192	320.0791608237	432	40	Shivwits Woodland
PARA140525.13	36.134464	11	-0.6575773192	514.5708086506	1751	30	Shivwits Woodland
PARA140525.17	36.134464	11	-0.6575773192	636.4118417631	1834	116	Shivwits Woodland
PARA140525.21	36.134464	11	-0.6575773192	906.5312036362	1731	97	Shivwits Woodland
PARA140525.25	36.134464	11	-0.6575773192	337.7700256359	809	53	Shivwits Woodland
PARA140525.29	36.134464	11	-0.6575773192	297.8501073686	987	64	Shivwits Woodland
PARA140525.33	36.134464	11	-0.6575773192	338.2136468313	771	42	Shivwits Woodland
PARA140525.5	36.134464	11	-0.6575773192	482.0795675254	1172	136	Shivwits Woodland
PARA140525.9	36.134464	11	-0.6575773192	428.1915053092	1139	15	Shivwits Woodland
PARA140526.1	36.086159	10.7	0.8162413	472.4783299507	1131	44	Shivwits Woodland
PARA140526.13	36.086159	10.7	0.8162413	481.03851934	1123	166	Shivwits Woodland
PARA140526.17	36.086159	10.7	0.8162413	416.6258878506	1921	21	Shivwits Woodland
PARA140526.21	36.086159	10.7	0.8162413	516.4271186609	866	31	Shivwits Woodland
PARA140526.25	36.086159	10.7	0.8162413	434.043316305	950	29	Shivwits Woodland
PARA140526.29	36.086159	10.7	0.8162413	385.8023119216	712	27	Shivwits Woodland
PARA140526.5	36.086159	10.7	0.8162413	386.471904658	548	47	Shivwits Woodland
PARA140526.9	36.086159	10.7	0.8162413	531.6974597779	1827	29	Shivwits Woodland
PARA140528.1	36.42017	18	-0.920818754	414.1027323254	2142	46	Eastern Mojave Basins
PARA140528.13	36.42017	18	-0.920818754	353.8061364056	624	68	Eastern Mojave Basins
PARA140528.5	36.42017	18	-0.920818754	404.4896098612	2892	37	Eastern Mojave Basins
PARA140528.9	36.42017	18	-0.920818754	411.8477595455	1098	68	Eastern Mojave Basins
PARA140529.1	36.479897	12.3	-0.6777807053	557.7645838742	1947	85	Shivwits Woodland
PARA140529.13	36.479897	12.3	-0.6777807053	458.1303237817	1586	111	Shivwits Woodland
PARA140529.17	36.479897	12.3	-0.6777807053	487.9925861925	1395	77	Shivwits Woodland
PARA140529.21	36.479897	12.3	-0.6777807053	427.3693004353	1361	81	Shivwits Woodland
PARA140529.25	36.479897	12.3	-0.6777807053	645.1710521135	2184	145	Shivwits Woodland
PARA140529.5	36.479897	12.3	-0.6777807053	270.1262438498	905	49	Shivwits Woodland
PARA140529.9	36.479897	12.3	-0.6777807053	683.3926137218	1152	65	Shivwits Woodland
PCS140317.1	36.294017	14.6	-0.8860566477	336.8859222835	639	99	Eastern Mojave Low Ranges and Arid Footslopes
PCS140317.10	36.294017	14.6	-0.8860566477	192.3729797678	371	18	Eastern Mojave Low Ranges and Arid Footslopes
PCS140317.4	36.294017	14.6	-0.8860566477	477.5730689105	875	114	Eastern Mojave Low Ranges and Arid Footslopes
PCS140317.7	36.294017	14.6	-0.8860566477	554.6658586409	2014	137	Eastern Mojave Low Ranges and Arid Footslopes
PCS140320.1	36.294017	14.6	-0.8860566477	419.4452904894	374	98	Eastern Mojave Low Ranges and Arid Footslopes
PCS140320.10	36.294017	14.6	-0.8860566477	443.2584167791	512	76	Eastern Mojave Low Ranges and Arid Footslopes
